Title,Year,Duration,MPAA,Genres,IMDb_Rating,Director,Stars,Plot_Summary,Votes,Duration_In_Minutes
City of Love,2023,1h 21min,Not Rated,"Comedy, Crime, Thriller",8.4,Èric Boadella,"Robert DeCesare, Kathryn Schott, Taylor Nichols","Spencer, a troubled rideshare driver in Los Angeles, will go to dangerous lengths to reconnect with the world he lost after spending 20 years in jail.",5637,81
Mustard Man,2024,Unknown,Not Rated,Comedy,9.4,Roman Lynch,"Zach Mund, Albert DiCesare, Joseph Arioto","KJ leaves school, unsure if he'll ever return. He arrives home, only to find that his parents have moved without telling him. Directionless, he meets an old friend and joins a ragtag rock band, paving the way for an eventful summer.",31000,Unknown
O Faixa Preta,2022,1h 35min,Not Rated,"Biography, Drama, Sport",6.9,Caco Souza,"Raphael Logam, Lui Mendes, Isabel Fillardis","Five-time Jiu-Jitsu world champion, Tererê won almost all the matches he fought. But it was away from the mats that he suffered his greatest setback. Based on real facts, the film tells the fantastic story of Fernando Tererê's resilience.",315732,95
The World According to Allee Willis,2024,1h 37min,Not Rated,"Documentary, Biography, Music",8.8,Alexis Spraic,"Pamela Adlon, Stephen Bray, Julie Brown",Songwriter / artist Allee Willis began filming her life as a kid in 1950s Detroit and never stopped. She pursued creative expression at all costs while struggling to fit established gender and sexual norms - until she found a path to love.,31000,97
Helmut Newton: The Bad and the Beautiful,2020,1h 33min,Not Rated,"Documentary, Biography, History",7.1,Gero von Boehm,"Helmut Newton, Sigourney Weaver, Grace Jones",The trailblazing late photographer Helmut Newton had a defining impact on the worlds of fashion and art.,12579,93
Zombeez,2023,Unknown,Not Rated,"Adventure, Sci-Fi, Thriller",9,Elesia Marie,"Ann Marie Crouch, Teance Blackburn","When honeybee hives start dying off and bodies start piling up in a small, Northwest Florida town, the local coroner is forced to team up with the apiologist who left her at the altar years ago, to try to solve this deadly mystery.",41,Unknown
The Fisherman and the Banker,2024,1h 25min,Not Rated,Documentary,9.2,Sheena Sumaria,Unknown,"An ancient fishing community in the Gulf of Kutch, India, join forces with human rights lawyers in Washington, D.C. to file the first-ever lawsuit against the World Bank Group for funding a coal-fired power plant along its coast.",31000,85
Kargil 1999- The Untold Story of the Indian Air Force,2024,Unknown,Not Rated,Documentary,9.1,Smriti Singh Mahajan,"Air Mshl Ps Ahluwalia, Alok Sahay, Tipnis Air Chief Mshl Ay Tipti","The IAF veterans reveal for the first time, classified information on their operation for reclaiming high-altitude posts intruded by the Pakistan army.",31000,Unknown
Kill It and Leave This Town,2020,1h 28min,Not Rated,"Animation, Drama, Horror",6.6,Mariusz Wilczynski,"Krystyna Janda, Andrzej Chyra, Maja Ostaszewska","Fleeing from despair after losing those dearest to him, the hero hides in a safe land of memories, where time stands still and all those dear to him are alive.",23000,88
The Safe,2023,1h 43min,Not Rated,"Crime, Thriller",7.2,Uwe Schwarzwalder,"Thamar Rieser, Thomas Kühl","A taxi driver, a police woman, and a barkeeper are stealing a safe from a drug kingpin, soon realizing that he and his goon are after them to get it back, while the taxi driver sets up his own escape plan.",353696,103
Childhood 2.0,2020,1h 28min,Not Rated,Documentary,7.5,Robert Muratore,"Skyler Sledge, Shauna Sledge, Avi Khanna","The mental health of our children is statistically at an all-time low. Kids spend more time online and less engaging in real life, free play and autonomy. Childhood was more or less unchanged for a millennia, this is Childhood 2.0.",96617,88
Loving Highsmith,2022,1h 23min,Not Rated,"Documentary, Biography, History",6.9,Eva Vitija,"Annina Butterworth, Patricia Highsmith, Marijane Meaker","Based on Patricia Highsmith's personal writings and accounts of her family and lovers, the film casts new light on the famous thriller writer's life and oeuvre, permeated by themes of love and its defining influence on identity.",66858,83
Your 1/2 of the Rent,2024,1h 45min,Not Rated,Romance,9,Marquette Jefferson,"Courtney Carl, Devin Cherry, Jaclynn Cherry","When a screenwriter's girlfriend breaks up with him for being consistently unemployed, his sexy boss at his new job develops a crush on him. He becomes the center of a love triangle.",31000,105
Explorer: The Last Tepui,2022,55min,Not Rated,Documentary,6.9,Renan Ozturk,"Franklin George, Alex Honnold, Brian Irwin",Follows elite climber Alex Honnold and a world-class climbing team on a grueling mission deep in the Amazon jungle.,93945,55
Psychosis,2023,1h 38min,Not Rated,"Horror, Thriller",7.1,Pirie Martin,"Derryn Amoroso, Kate Holly Hall, Henry Errington","A criminal fixer who experiences auditory hallucinations must confront old demons when a new contract drags him into a surreal maelstrom of mind-altering drugs, delusional vigilantes and a sadistic hypnotist who seems more monster than man",207880,98
A Long Way to Come Home,2023,1h 49min,TV-14,Drama,6.6,Angga Dwimas Sasongko,"Sheila Dara Aisha, Jerome Kurnia, Lutesha","Studying abroad in London, Aurora struggles with her relationships while away from her family in this sequel to ""One Day We'll Talk About Today.""",42625,109
Voodoo Macbeth,2021,1h 48min,Not Rated,Drama,6.5,Dagmawi Abebe,"Inger Tudor, Jewell Wilson Bridges, June Schreiner","In 1936 Harlem, the first all-Black cast production of 'Macbeth' struggles to make it to opening night amid the downward spiral of their young and untested director - Orson Welles.",279354,108
The United States of Insanity,2021,1h 39min,Not Rated,"Documentary, Biography, Music",7,Tom Putnam,"Mike Busey, FlipFlop The Clown, Howard Hertz","The story of controversial rap duo Insane Clown Posse (ICP), their fans, and their ongoing struggle with the FBI in a landmark case that may be a bellwether of change for First Amendment rights in America.",61463,99
Revolution X,2022,Unknown,Not Rated,Sci-Fi,7.8,Matthew Philip Cannon,"Tee Morris, Carlotta Ryan, Ruggero Alexander","When a talented artists destiny to change the world is destroyed, people from the future come back to restore his true path. But their mission won't be simple.",193786,Unknown
This Is a Film About the Black Keys,2024,1h 30min,Not Rated,"Documentary, Music",8.2,Jeff Dupre,"Dan Auerbach, Patrick J. Carney","Dan Auerbach and Patrick Carney formed The Black Keys in Akron, Ohio. After a decade of relentless touring and navigating highs and lows, they found mainstream success with Brothers and El Camino.",31000,90
The Driven Ones,2023,1h 33min,Not Rated,Documentary,7.3,Piet Baumgartner,Unknown,Over the course of five years THE DRIVEN ONES follows tomorrow's business elite: from their studies in the best master's program worldwide through to the first years of their careers.,72420,93
The Musical Mind: A Portrait in Process,2023,1h 24min,Not Rated,"Documentary, Biography, Music",8.2,Scott Hicks,"Ben Folds, David Helfgott, Daniel Johns","Inspired by the 25th Anniversary of 'Shine (1996)', the mysterious world of musical genius of brilliant musicians is explored as well as transformational story-telling, the mystery of prodigy and the impact of music on the brain.",67225,84
We Dare to Dream,2023,1h 38min,Not Rated,"Documentary, Sport",8.2,Waad Al-Kateab,"Kimia Alizadeh, Wael Fawaz Al-Farraj, Saeid Fazloula",Complete access to the IOC Refugee Olympic Team which were part of the Tokyo Olympics.,177326,98
Dio: Dreamers Never Die,2022,2h 7min,Not Rated,"Documentary, Biography, Music",8.4,Don Argott,"Ronnie James Dio, Wendy Dio, Mick Wall","The first career spanning documentary on the heavy metal vocalist to be authorized by the artist's estate includes scenes with peers, family and friends; never before seen footage; personal photos.",146953,127
